questions,types
How many times during the season were the seahawks 8-6?,3
How many times did the team play at oakland-alameda county coliseum?,3
"How many episodes originally aired on April 29, 2008?",3
How many players weight 95?,3
What's Enrique de la Fuente's weight?,0
What is the highest reset points where the events is 23?,1
How many rounds ended with a score of 16-52?,3
 how many native american with whites being 1.0%,3
How many episodes have been directed by David Duchovny?,3
What's the smallest episode number of an episode whose number in the series is 22?,2
Name the number of shows when there was 2 million views,3
"What is the episode number for ""here I go again""?",0
what is the maximum completed for delta bessborough,1
what is the total number of building for address on 201 1st avenue south,3
what is the minimum storeys on 325 5th ave n,2
What is the number of region 4 for the series of the complete seventh series?,3
How many numbers were listed under losing bonus when there were 68 tries for?,3
what is the prod.code of the episode with original air date 01/12/1968?,0
How many times was the incumbent mike capuano,3
What was the earliest year someone was first elected from Massachusetts 3,2
How many candidates ran in the election where Wayne Gilchrest was the incumbent?,3
What year was Luis Gutierrez election,0
What is the lowest first elected?,2
Name the first election for john mchugh,2
Name the number of party for new york 29,3
How many districts have Bart Stupak as the incumbent?,3
what is the earliest first elected with the results re-elected in the district south carolina 3?,1
How many party were listed for district oklahoma 5?,3
How many parties is the incumbent Bob Brady a member of?,3
How many candidates were there in the district won by Joe Hoeffel?,3
What's the first elected year of the district whose incumbent is Jim Greenwood?,0
When was the first election in the district whose incumbent is Ron Kind?,2
What year was the first election in the district whose election now was won by Ron Kind?,2
When did the elections take place in district Maryland 2?,0
How many elections have resulted in retired democratic hold?,3
How many incumbents were first elected in 1984? ,3
How many candidates ran in the election where Mike Doyle was the incumbent? ,3
What year was Bob Clement first elected? ,0
How many districts does gary condit represent?,3
What's the first elected year of the district who's been the last one to do so?,0
How many districts was Robert Livingston incumbent in?,3
What is the first election year listed?,2
 how many party with district being washington 7,3
what's the latest first elected year,2
what being the minimum first elected with district being washington 7,2
"what's the total number of candidates for first elected in 1948 , 1964",3
Name the number of first elected for new york 11,2
Name the first elected for new york 1,2
How many districts are respresented by Alex McMillan?,3
What's Georgia5's first elected year?,2
 how many first elected with district being new york2,3
 how many district with candidates being eliot l. engel (d) 85.2% martin richman (r) 14.8%,3
 how many candidates with party being democratic and dbeingtrict being new york5,3
 how many first elected with result being re-elected and incumbent being gary ackerman redistricted from the 7th district,3
How many republican incumbents first elected in 1974?,3
In how many districts was the democratic incumbent elected in 1974? ,3
What year was incumbent Martin Lancaster elected? ,0
How many incumbents represent district California 34?,3
"In the district called Tennessee 6, how many in total of first elected are there?",3
How many candidates are listed all together for the incumbent named bob clement?,3
what is the maximum first elected with incumbent being gus yatron,1
 how many district with incumbent being lindy boggs,3
 how many candidates with result being retired to run for u. s. senate republican hold,3
Name number first elected for tennessee 2?,3
How many districts have Mac Sweeney as incumbent?,3
What year were the election results tom loeffler (r) 80.6% joe sullivan (d) 19.4%?,2
How many candidates won the election in the district whose incumbent is Bud Shuster?,3
How many parties does the incumbent Donald A. Bailey a member of?,3
What year was the earliest first elected?,2
How many sitting politicians were originally elected in 1972?,3
How many parties are there in races involving Dawson Mathis?,3
When was the first elected for district missouri 7?,2
When was the earliest first election?,2
How many times was the candidates dick gephardt (d) 81.9% lee buchschacher (r) 18.1%?,3
When was Stephen J. Solarz first elected?,2
How many outcomes were there in the elections in California 38?,3
How many times did an election feature the result robert l. leggett (d) 50.2% albert dehr (r) 49.8%?,3
What year was incumbent mark w. hannaford elected?,0
How many incumbents are there in district Louisiana 5?,3
How many incumbents resulted in a lost renomination republican gain?,3
What year was Otto Passman (d) unopposed first elected?,2
How many times was the candidates paul tsongas (d) 60.6% paul w. cronin (r) 39.4%?,3
How many instances are there of party in the situation where Robert Bauman is the incumbent politician?,3
How many parties won the election in the California 23 district?,3
What republican candidate was first elected most recently?,2
How many incumbent candidates in the election featuring sam m. gibbons (d) unopposed?,3
What is the last year that someone is first elected?,1
what was the year first elected for district illinois 7?,2
how many times was the candidates phil crane (r) 58.0% edward a. warman (d) 42.0%?,3
how many times was it the district illinois 18?,3
When was the first elected when the party was republican and the candidate were robert h. michel (r) 66.1% rosa lee fox (d) 33.9%?,2
What is the highest year that a candidate was first elected?,1
How many districts does Donald D. Clancy represent?,3
How many parties won the election in the Louisiana 5 district?,3
How many candidates were elected in the Louisiana 4 district?,3
how many party with district being tennessee 1,3
